# bin number, rate
0.00000e+00,3.59141e-09
1.00000e+00,4.94452e-07
2.00000e+00,1.05616e-07
3.00000e+00,4.10234e-08
4.00000e+00,1.65358e-08
5.00000e+00,7.78537e-09
6.00000e+00,4.04251e-09
7.00000e+00,2.08644e-09
8.00000e+00,1.08358e-09
9.00000e+00,5.87112e-10
